ProductID,Name,Color,Size,ListPrice
749,"Road-150 Red, 62","Red","62",3578.2700
750,"Road-150 Red, 44","Red","44",3578.2700
751,"Road-150 Red, 48","Red","48",3578.2700
752,"Road-150 Red, 52","Red","52",3578.2700
753,"Road-150 Red, 56","Red","56",3578.2700
754,"Road-450 Red, 58","Red","58",1457.9900
755,"Road-450 Red, 60","Red","60",1457.9900
756,"Road-450 Red, 44","Red","44",1457.9900
757,"Road-450 Red, 48","Red","48",1457.9900
758,"Road-450 Red, 52","Red","52",1457.9900
759,"Road-650 Red, 58","Red","58",782.9900
760,"Road-650 Red, 60","Red","60",782.9900
761,"Road-650 Red, 62","Red","62",782.9900
762,"Road-650 Red, 44","Red","44",782.9900
763,"Road-650 Red, 48","Red","48",782.9900
764,"Road-650 Red, 52","Red","52",782.9900
765,"Road-650 Black, 58","Black","58",782.9900
766,"Road-650 Black, 60","Black","60",782.9900
767,"Road-650 Black, 62","Black","62",782.9900
768,"Road-650 Black, 44","Black","44",782.9900
769,"Road-650 Black, 48","Black","48",782.9900
770,"Road-650 Black, 52","Black","52",782.9900
789,"Road-250 Red, 44","Red","44",2443.3500
790,"Road-250 Red, 48","Red","48",2443.3500
791,"Road-250 Red, 52","Red","52",2443.3500
792,"Road-250 Red, 58","Red","58",2443.3500
793,"Road-250 Black, 44","Black","44",2443.3500
794,"Road-250 Black, 48","Black","48",2443.3500
795,"Road-250 Black, 52","Black","52",2443.3500
796,"Road-250 Black, 58","Black","58",2443.3500
797,"Road-550-W Yellow, 38","Yellow","38",1120.4900
798,"Road-550-W Yellow, 40","Yellow","40",1120.4900
799,"Road-550-W Yellow, 42","Yellow","42",1120.4900
800,"Road-550-W Yellow, 44","Yellow","44",1120.4900
801,"Road-550-W Yellow, 48","Yellow","48",1120.4900
973,"Road-350-W Yellow, 40","Yellow","40",1700.9900
974,"Road-350-W Yellow, 42","Yellow","42",1700.9900
975,"Road-350-W Yellow, 44","Yellow","44",1700.9900
976,"Road-350-W Yellow, 48","Yellow","48",1700.9900
977,"Road-750 Black, 58","Black","58",539.9900
997,"Road-750 Black, 44","Black","44",539.9900
998,"Road-750 Black, 48","Black","48",539.9900
999,"Road-750 Black, 52","Black","52",539.9900
